station_code,lat,long,station_name,address
28079004,40.423853,-3.712171,Plaza de España,C/ Princesa esq. Plaza de España
28079008,40.421517,-3.682390,Escuelas Aguirre,Entre c/ Alcalá y c/ O'Donell
28079011,40.451510,-3.677841,Ramón y Cajal,Avda. Ramón y Cajal esq. c/ Principe de Vergara
28079016,40.440102,-3.639256,Arturo Soria,C/ Arturo Soria esq. C/ Vizconde de los Asilos
28079017,40.347149,-3.713310,Villaverde,C/ Juan Peñalver.
28079018,40.394802,-3.731851,Farolillo,C/ Farolillo esq. C/ Ervigio
28079024,40.419350,-3.747341,Casa de Campo,Casa de Campo. Terminal del Teleférico
28079027,40.476925,-3.580024,Barajas Pueblo,C/ Júpiter 21
28079035,40.419216,-3.703161,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces
28079036,40.407957,-3.645288,Moratalaz,Avda. Moratalaz esq. Camino de Vinateros
28079038,40.445545,-3.707123,Cuatro Caminos,Avda. Pablo Iglesias esq. c/ Marqués de Lema
28079039,40.478233,-3.711528,Barrio del Pilar,Avd. Betanzos esq. C/ Monforte de Lemos
28079040,40.388157,-3.651512,Vallecas,C/ Arroyo del Olivar esq. C/ Rio Grande
28079047,40.398100,-3.686817,Méndez Álvaro,C/ Juan de Mariana - Pza. Amanecer Mendez Alvaro
28079048,40.439888,-3.690359,Castellana,C/ Jose Gutierrez Abascal
28079049,40.414486,-3.682656,Retiro,Paseo Venezuela - Casa de Vacas
28079050,40.465589,-3.688738,Plaza Castilla,Plaza Castilla - Canal
28079054,40.373014,-3.612143,Ensanche de Vallecas,Avda. La Gavia - Avda. Las Suertes
28079055,40.462365,-3.580555,Urbanización Embajada (Barajas),C/ Riaño
28079056,40.384996,-3.719827,Plaza Fernández Ladreda,Pza. Fernandez Ladreda - Avda.Oporto
28079057,40.494203,-3.660511,Sanchinarro,C/ Princesa de Éboli - C/ Maria Tudor
28079058,40.518253,-3.774769,El Pardo,Avda. de la Guardia
28079059,40.465151,-3.609039,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento)
28079060,40.500557,-3.689714,Tres Olivos,Plaza de Tres Olivos
